Diff,Time1,Start,End,Time2,target
158,-91.15625,180.0,2026-06-26 10:45:00+05:30,2026-06-26 10:48:00+05:30,60.0,0
159,24.58984375,60.0,2026-06-26 10:48:00+05:30,2026-06-26 10:49:00+05:30,240.0,1
160,-202.0,240.0,2026-06-26 10:49:00+05:30,2026-06-26 10:53:00+05:30,300.0,1
161,221.98828125,300.0,2026-06-26 10:53:00+05:30,2026-06-26 10:58:00+05:30,60.0,0
162,-9.1015625,60.0,2026-06-26 10:58:00+05:30,2026-06-26 10:59:00+05:30,60.0,0
163,9.25,60.0,2026-06-26 10:59:00+05:30,2026-06-26 11:00:00+05:30,60.0,0
164,-9.23828125,60.0,2026-06-26 11:00:00+05:30,2026-06-26 11:01:00+05:30,60.0,0
165,44.4296875,60.0,2026-06-26 11:01:00+05:30,2026-06-26 11:02:00+05:30,60.0,0
166,-1.51171875,60.0,2026-06-26 11:02:00+05:30,2026-06-26 11:03:00+05:30,60.0,0
167,29.25,60.0,2026-06-26 11:03:00+05:30,2026-06-26 11:04:00+05:30,120.0,0
168,-65.078125,120.0,2026-06-26 11:04:00+05:30,2026-06-26 11:06:00+05:30,60.0,0
169,25.80859375,60.0,2026-06-26 11:06:00+05:30,2026-06-26 11:07:00+05:30,300.0,1
170,-107.8203125,300.0,2026-06-26 11:07:00+05:30,2026-06-26 11:12:00+05:30,60.0,0
171,19.83203125,60.0,2026-06-26 11:12:00+05:30,2026-06-26 11:13:00+05:30,120.0,0
172,-107.1015625,120.0,2026-06-26 11:13:00+05:30,2026-06-26 11:15:00+05:30,120.0,0
173,5.26953125,120.0,2026-06-26 11:15:00+05:30,2026-06-26 11:17:00+05:30,60.0,0
174,-5.26953125,60.0,2026-06-26 11:17:00+05:30,2026-06-26 11:18:00+05:30,120.0,0
175,70.390625,120.0,2026-06-26 11:18:00+05:30,2026-06-26 11:20:00+05:30,60.0,0
176,-38.96875,60.0,2026-06-26 11:20:00+05:30,2026-06-26 11:21:00+05:30,420.0,2
177,129.859375,420.0,2026-06-26 11:21:00+05:30,2026-06-26 11:28:00+05:30,180.0,1
178,-148.390625,180.0,2026-06-26 11:28:00+05:30,2026-06-26 11:31:00+05:30,60.0,0
179,8.53125,60.0,2026-06-26 11:31:00+05:30,2026-06-26 11:32:00+05:30,60.0,0
180,-110.171875,60.0,2026-06-26 11:32:00+05:30,2026-06-26 11:33:00+05:30,180.0,1
181,88.703125,180.0,2026-06-26 11:33:00+05:30,2026-06-26 11:36:00+05:30,120.0,0
182,-30.54296875,120.0,2026-06-26 11:36:00+05:30,2026-06-26 11:38:00+05:30,60.0,0
183,12.22265625,60.0,2026-06-26 11:38:00+05:30,2026-06-26 11:39:00+05:30,60.0,0
184,-16.3828125,60.0,2026-06-26 11:39:00+05:30,2026-06-26 11:40:00+05:30,120.0,0
185,12.01171875,120.0,2026-06-26 11:40:00+05:30,2026-06-26 11:42:00+05:30,120.0,0
186,-57.19140625,120.0,2026-06-26 11:42:00+05:30,2026-06-26 11:44:00+05:30,120.0,0
187,58.5,120.0,2026-06-26 11:44:00+05:30,2026-06-26 11:46:00+05:30,60.0,0
188,-20.76953125,60.0,2026-06-26 11:46:00+05:30,2026-06-26 11:47:00+05:30,360.0,2
189,274.75,360.0,2026-06-26 11:47:00+05:30,2026-06-26 11:53:00+05:30,60.0,0
190,-12.23828125,60.0,2026-06-26 11:53:00+05:30,2026-06-26 11:54:00+05:30,60.0,0
191,5.2890625,60.0,2026-06-26 11:54:00+05:30,2026-06-26 11:55:00+05:30,180.0,1
192,-84.8515625,180.0,2026-06-26 11:55:00+05:30,2026-06-26 11:58:00+05:30,60.0,0
193,110.16015625,60.0,2026-06-26 11:58:00+05:30,2026-06-26 11:59:00+05:30,60.0,0
194,-67.3203125,60.0,2026-06-26 11:59:00+05:30,2026-06-26 12:00:00+05:30,120.0,0
195,45.921875,120.0,2026-06-26 12:00:00+05:30,2026-06-26 12:02:00+05:30,120.0,0
196,-48.98046875,120.0,2026-06-26 12:02:00+05:30,2026-06-26 12:04:00+05:30,300.0,1
197,232.19140625,300.0,2026-06-26 12:04:00+05:30,2026-06-26 12:09:00+05:30,60.0,0
198,-82.23046875,60.0,2026-06-26 12:09:00+05:30,2026-06-26 12:10:00+05:30,240.0,1
199,254.359375,240.0,2026-06-26 12:10:00+05:30,2026-06-26 12:14:00+05:30,60.0,0
200,-28.5703125,60.0,2026-06-26 12:14:00+05:30,2026-06-26 12:15:00+05:30,60.0,0
201,90.828125,60.0,2026-06-26 12:15:00+05:30,2026-06-26 12:16:00+05:30,360.0,2
202,-201.81640625,360.0,2026-06-26 12:16:00+05:30,2026-06-26 12:22:00+05:30,120.0,0
203,53.41796875,120.0,2026-06-26 12:22:00+05:30,2026-06-26 12:24:00+05:30,120.0,0
204,-27.41015625,120.0,2026-06-26 12:24:00+05:30,2026-06-26 12:26:00+05:30,120.0,0
205,66.21875,120.0,2026-06-26 12:26:00+05:30,2026-06-26 12:28:00+05:30,120.0,0
206,-41.7890625,120.0,2026-06-26 12:28:00+05:30,2026-06-26 12:30:00+05:30,60.0,0
207,20.421875,60.0,2026-06-26 12:30:00+05:30,2026-06-26 12:31:00+05:30,60.0,0
208,-23.47265625,60.0,2026-06-26 12:31:00+05:30,2026-06-26 12:32:00+05:30,60.0,0
209,34.140625,60.0,2026-06-26 12:32:00+05:30,2026-06-26 12:33:00+05:30,120.0,0
210,-21.52734375,120.0,2026-06-26 12:33:00+05:30,2026-06-26 12:35:00+05:30,120.0,0
211,74.2265625,120.0,2026-06-26 12:35:00+05:30,2026-06-26 12:37:00+05:30,60.0,0
212,-40.84765625,60.0,2026-06-26 12:37:00+05:30,2026-06-26 12:38:00+05:30,120.0,0
213,94.75,120.0,2026-06-26 12:38:00+05:30,2026-06-26 12:40:00+05:30,120.0,0
214,-55.94921875,120.0,2026-06-26 12:40:00+05:30,2026-06-26 12:42:00+05:30,180.0,1
215,205.80859375,180.0,2026-06-26 12:42:00+05:30,2026-06-26 12:45:00+05:30,60.0,0
216,-27.2109375,60.0,2026-06-26 12:45:00+05:30,2026-06-26 12:46:00+05:30,60.0,0
217,47.22265625,60.0,2026-06-26 12:46:00+05:30,2026-06-26 12:47:00+05:30,60.0,0
218,-3.61328125,60.0,2026-06-26 12:47:00+05:30,2026-06-26 12:48:00+05:30,60.0,0
219,3.66015625,60.0,2026-06-26 12:48:00+05:30,2026-06-26 12:49:00+05:30,60.0,0
220,-60.0703125,60.0,2026-06-26 12:49:00+05:30,2026-06-26 12:50:00+05:30,60.0,0
221,21.72265625,60.0,2026-06-26 12:50:00+05:30,2026-06-26 12:51:00+05:30,60.0,0
222,-37.5625,60.0,2026-06-26 12:51:00+05:30,2026-06-26 12:52:00+05:30,120.0,0
223,47.44140625,120.0,2026-06-26 12:52:00+05:30,2026-06-26 12:54:00+05:30,60.0,0
224,-44.359375,60.0,2026-06-26 12:54:00+05:30,2026-06-26 12:55:00+05:30,120.0,0
225,78.8984375,120.0,2026-06-26 12:55:00+05:30,2026-06-26 12:57:00+05:30,120.0,0
226,-21.80078125,120.0,2026-06-26 12:57:00+05:30,2026-06-26 12:59:00+05:30,180.0,1
227,80.78125,180.0,2026-06-26 12:59:00+05:30,2026-06-26 13:02:00+05:30,180.0,1
228,-112.7578125,180.0,2026-06-26 13:02:00+05:30,2026-06-26 13:05:00+05:30,240.0,1
229,179.1484375,240.0,2026-06-26 13:05:00+05:30,2026-06-26 13:09:00+05:30,360.0,2
230,-213.62890625,360.0,2026-06-26 13:09:00+05:30,2026-06-26 13:15:00+05:30,60.0,0
231,19.328125,60.0,2026-06-26 13:15:00+05:30,2026-06-26 13:16:00+05:30,60.0,0
232,-42.1875,60.0,2026-06-26 13:16:00+05:30,2026-06-26 13:17:00+05:30,180.0,1
233,37.0,180.0,2026-06-26 13:17:00+05:30,2026-06-26 13:20:00+05:30,60.0,0
234,-16.19140625,60.0,2026-06-26 13:20:00+05:30,2026-06-26 13:21:00+05:30,180.0,1
235,60.2578125,180.0,2026-06-26 13:21:00+05:30,2026-06-26 13:24:00+05:30,60.0,0
236,-16.078125,60.0,2026-06-26 13:24:00+05:30,2026-06-26 13:25:00+05:30,60.0,0
237,10.8984375,60.0,2026-06-26 13:25:00+05:30,2026-06-26 13:26:00+05:30,360.0,2
238,-170.44921875,360.0,2026-06-26 13:26:00+05:30,2026-06-26 13:32:00+05:30,60.0,0
239,35.80078125,60.0,2026-06-26 13:32:00+05:30,2026-06-26 13:33:00+05:30,60.0,0
240,-76.48828125,60.0,2026-06-26 13:33:00+05:30,2026-06-26 13:34:00+05:30,60.0,0
241,2.25,60.0,2026-06-26 13:34:00+05:30,2026-06-26 13:35:00+05:30,240.0,1
242,-106.01171875,240.0,2026-06-26 13:35:00+05:30,2026-06-26 13:39:00+05:30,120.0,0
243,51.73046875,120.0,2026-06-26 13:39:00+05:30,2026-06-26 13:41:00+05:30,120.0,0
244,-55.421875,120.0,2026-06-26 13:41:00+05:30,2026-06-26 13:43:00+05:30,60.0,0
245,11.640625,60.0,2026-06-26 13:43:00+05:30,2026-06-26 13:44:00+05:30,60.0,0
246,-3.87109375,60.0,2026-06-26 13:44:00+05:30,2026-06-26 13:45:00+05:30,120.0,0
247,21.97265625,120.0,2026-06-26 13:45:00+05:30,2026-06-26 13:47:00+05:30,60.0,0
248,-93.65234375,60.0,2026-06-26 13:47:00+05:30,2026-06-26 13:48:00+05:30,240.0,1
249,148.54296875,240.0,2026-06-26 13:48:00+05:30,2026-06-26 13:52:00+05:30,60.0,0
250,-29.4921875,60.0,2026-06-26 13:52:00+05:30,2026-06-26 13:53:00+05:30,120.0,0
251,38.5625,120.0,2026-06-26 13:53:00+05:30,2026-06-26 13:55:00+05:30,120.0,0
252,-56.6328125,120.0,2026-06-26 13:55:00+05:30,2026-06-26 13:57:00+05:30,120.0,0
253,20.5703125,120.0,2026-06-26 13:57:00+05:30,2026-06-26 13:59:00+05:30,60.0,0
254,-4.5,60.0,2026-06-26 13:59:00+05:30,2026-06-26 14:00:00+05:30,60.0,0
255,0.58984375,60.0,2026-06-26 14:00:00+05:30,2026-06-26 14:01:00+05:30,240.0,1
256,-133.55859375,240.0,2026-06-26 14:01:00+05:30,2026-06-26 14:05:00+05:30,180.0,1
257,74.05078125,180.0,2026-06-26 14:05:00+05:30,2026-06-26 14:08:00+05:30,120.0,0
258,-52.01171875,120.0,2026-06-26 14:08:00+05:30,2026-06-26 14:10:00+05:30,120.0,0
259,48.9609375,120.0,2026-06-26 14:10:00+05:30,2026-06-26 14:12:00+05:30,120.0,0
260,-35.55859375,120.0,2026-06-26 14:12:00+05:30,2026-06-26 14:14:00+05:30,120.0,0
261,62.09765625,120.0,2026-06-26 14:14:00+05:30,2026-06-26 14:16:00+05:30,180.0,1
262,-121.3984375,180.0,2026-06-26 14:16:00+05:30,2026-06-26 14:19:00+05:30,240.0,1
263,82.6171875,240.0,2026-06-26 14:19:00+05:30,2026-06-26 14:23:00+05:30,120.0,0
264,-90.4375,120.0,2026-06-26 14:23:00+05:30,2026-06-26 14:25:00+05:30,180.0,1
265,96.55859375,180.0,2026-06-26 14:25:00+05:30,2026-06-26 14:28:00+05:30,360.0,2
266,-138.41796875,360.0,2026-06-26 14:28:00+05:30,2026-06-26 14:34:00+05:30,60.0,0
